NO,DATE,TIME,STATION,pH,DO,COND,TURB,TEMP,SAL,TDS,SWSG,NH4,BOD,TSS,DBT,CSQ,COD,NO3,MEM,PWR
1,1/4/2022,13:00,OL44,6.95,1.62,19.6,13.4,27.9,0,170.5,0,0.02,2.38,0,0,14,9.86,6.18,93,13.7
2,1/4/2022,14:00,OL44,6.86,0,22.7,27.8,29.3,1,197.5,0,0.03,6.18,31.33,0,16,25.73,1.93,93,13.7
3,1/4/2022,15:00,OL44,6.8,0,24.9,27.1,29.5,1,216.6,0,0.03,5.09,28.36,0,15,21.12,2.19,93,13.7
4,1/4/2022,16:00,OL44,6.78,0.16,25.5,23.3,29.5,1,221.9,0,0.03,4.02,16,0,16,16.67,1.83,94,13.7
5,1/4/2022,17:00,OL44,6.75,0,26.2,20,29.4,1,227.9,0,0.03,3.77,11.58,0,16,15.63,1.79,94,13.7
6,1/4/2022,18:00,OL44,6.72,0,27.9,21.2,29.3,1,242.7,0,0.04,4.23,16.54,0,17,17.53,1.95,94,13.7
7,1/4/2022,19:00,OL44,6.7,0,27,20.7,29.2,1,234.9,0,0.04,4.55,14.69,0,17,18.79,2.06,95,13.65
8,1/4/2022,20:00,OL44,6.69,0,26.8,23.9,29.2,1,233.2,0,0.04,4.98,17.96,0,15,20.65,2.38,95,13.65
9,1/4/2022,21:00,OL44,6.7,0,25.8,21.6,29.2,1,224.5,0,0.04,4.71,13.52,0,16,19.51,2.69,95,13.6
10,1/4/2022,22:00,OL44,6.72,0,25.2,20.4,29.3,1,219.2,0,0.03,4.49,12.62,0,17,18.57,2.24,96,13.6
11,1/4/2022,23:00,OL44,6.72,0,24.6,19.5,29.3,1,214,0,0.04,4.56,12.99,0,16,18.85,3.14,96,13.55
12,1/5/2022,0:00,OL44,6.72,0,24.3,20.8,29.4,1,211.4,0,0.03,4.23,8.29,0,16,17.54,2.73,96,13.55
13,1/6/2022,0:28,OL44,6.69,0.1,66.5,16.1,29.7,3,578.6,0,0.04,4.22,9.08,0,15,17.48,4.66,1034,13.55
14,1/6/2022,1:16,OL44,6.73,0.15,63.4,17.9,29.8,3,551.6,0,0.04,4.09,7.71,0,15,16.93,6.01,1034,13.45
15,1/6/2022,2:04,OL44,6.7,0.07,61.6,17.4,29.7,3,535.9,0,0.04,4.14,5.9,0,16,17.14,4.63,1034,13.5
16,1/6/2022,2:52,OL44,6.7,0.07,61.8,15.9,29.8,3,537.7,0,0.04,3.96,4.36,0,16,16.39,4.76,1035,13.45
17,1/6/2022,3:40,OL44,6.71,0.07,60.2,14.8,29.9,3,523.7,0,0.05,3.83,4.15,0,16,15.89,5.6,1035,13.45
18,1/6/2022,4:28,OL44,6.71,0.06,57.4,13.8,29.9,2,499.4,0,0.05,3.75,3.14,0,16,15.56,6.45,1035,13.45
19,1/6/2022,5:16,OL44,6.73,0.11,56,27.7,29.8,2,487.2,0,0.05,3.75,5.23,0,16,15.56,7.09,1036,13.39
20,1/6/2022,6:04,OL44,6.71,0.06,55.4,16.3,29.7,2,482,0,0.05,3.79,4.76,0,16,15.7,6.04,1036,13.45
21,1/6/2022,6:52,OL44,6.7,0.04,55.1,17.3,29.7,2,479.4,0,0.05,3.74,5.57,0,16,15.51,7.82,1036,13.7
22,1/6/2022,7:40,OL44,6.67,0.04,73.7,15.3,29.7,3,641.2,0,0.05,3.48,4.42,0,16,14.44,4.88,1037,13.7
